Array Size,Time taken (s),Comparisons made
100,0.000291209,714
200,0.00059225,1661
300,0.000879333,2499
400,0.00118179,3358
500,0.00155083,4574
600,0.001764,5479
700,0.00211413,6708
800,0.00237808,7568
900,0.002809,9103
1000,0.00335738,10416
1100,0.00376262,11812
1200,0.0145435,12392
1300,0.00438004,14165
1400,0.00477608,14998
1500,0.00478829,15829
1600,0.00575512,19108
1700,0.00549129,18340
1800,0.00614287,19215
1900,0.00647783,20995
2000,0.00695779,22313
2100,0.00800396,25898
2200,0.0082775,27008
2300,0.00809096,25748
2400,0.00911696,28966
2500,0.00884158,28147
2600,0.0098275,32430
2700,0.0103138,33722
2800,0.00990717,31941
2900,0.0132842,34128
3000,0.0111989,35941
